wav,spec
4000.6309,9.991513524734785e-14
4001.531,1.000817690773228e-13
4002.4314,1.0010814569686303e-13
4003.3315,1.0020175332552952e-13
4004.2319,1.0024481345830546e-13
4005.1321,9.987690408785143e-14
4006.0322,9.928142709155349e-14
4006.9326,9.911414393235766e-14
4007.8327,9.944887375399976e-14
4008.7331,9.98529157196673e-14
4009.6332,1.0004002877051305e-13
4010.5334,1.0000384963105148e-13
4011.4338,1.0002049509945547e-13
4012.3339,1.0008130391431371e-13
4013.2343,1.0004259762197521e-13
4014.1344,9.992984927525768e-14
4015.0346,9.985767889170511e-14
4015.9349,9.994760681885618e-14
4016.8351,1.0003293206091201e-13
4017.7355,9.989659157891571e-14
4018.6356,9.975280438686252e-14
4019.5357,9.987330787893298e-14
4020.4361,1.0006257104243755e-13
4021.3363,1.0001302375993593e-13
4022.2366,9.985701112825721e-14
4023.1368,9.983040804021175e-14
